Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
DisGeNET,Colorectal Cancer,1/3298,0.4176247005571155,0.4213369201176232,0,0,2.532605398847437,2.211400362728498,ANGPT2,down_in_ALS
DisGeNET,Liver carcinoma,1/3593,0.4479433208102107,0.4499253709022912,0,0,2.2835467706013364,1.8338903119452743,ANGPT2,down_in_ALS
DisGeNET,Carcinogenesis,1/4065,0.4942335294630249,0.4942335294630249,0,0,1.9602608267716533,1.381488214830455,ANGPT2,down_in_ALS
GO_Biological_Process_2023,Tight Junction Organization (GO:0120193),1/5,0.0027472053583369,0.0291527032416844,0,0,499.625,2946.374119506432,CLDN5,full_panel
GO_Biological_Process_2023,Glomerulus Vasculature Development (GO:0072012),1/5,0.0027472053583369,0.0291527032416844,0,0,499.625,2946.374119506432,ANGPT2,full_panel
GO_Biological_Process_2023,Short-Chain Fatty Acid Catabolic Process (GO:0019626),1/5,0.0027472053583369,0.0291527032416844,0,0,499.625,2946.374119506432,MCEE,full_panel
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Development (GO:1901552),1/5,0.0027472053583369,0.0291527032416844,0,0,499.625,2946.374119506432,CLDN5,full_panel
GO_Biological_Process_2023,Positive Regulation Of Establishment Of Endothelial Barrier (GO:1903142),1/5,0.0027472053583369,0.0291527032416844,0,0,499.625,2946.374119506432,CLDN5,full_panel
GO_Biological_Process_2023,Ganglioside Catabolic Process (GO:0006689),1/6,0.0032958256764104,0.0291527032416844,0,0,399.68,2284.210591570385,HEXB,full_panel
GO_Biological_Process_2023,Short-Chain Fatty Acid Metabolic Process (GO:0046459),1/6,0.0032958256764104,0.0291527032416844,0,0,399.68,2284.210591570385,MCEE,full_panel
GO_Biological_Process_2023,Bleb Assembly (GO:0032060),1/6,0.0032958256764104,0.0291527032416844,0,0,399.68,2284.210591570385,EMP1,full_panel
GO_Biological_Process_2023,"Complement Activation, Lectin Pathway (GO:0001867)",1/8,0.004392244396163,0.0291527032416844,0,0,285.45714285714286,1549.43708775113,FCN3,full_panel
GO_Biological_Process_2023,Regulation Of RNA Biosynthetic Process (GO:2001141),1/8,0.004392244396163,0.0291527032416844,0,0,285.45714285714286,1549.43708775113,FCN3,full_panel
GO_Biological_Process_2023,Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),1/8,0.004392244396163,0.0291527032416844,0,0,285.45714285714286,1549.43708775113,FCN3,full_panel
GO_Biological_Process_2023,Positive Regulation Of Opsonization (GO:1903028),1/8,0.004392244396163,0.0291527032416844,0,0,285.45714285714286,1549.43708775113,FCN3,full_panel
GO_Biological_Process_2023,Glycosphingolipid Catabolic Process (GO:0046479),1/9,0.004940042922945,0.0291527032416844,0,0,249.7625,1326.3340991921912,HEXB,full_panel
GO_Biological_Process_2023,Aminoglycan Metabolic Process (GO:0006022),1/9,0.004940042922945,0.0291527032416844,0,0,249.7625,1326.3340991921912,HEXB,full_panel
